发布时间,问题,回答
1296489142,这两个问题知乎团队想清楚了吗？," 第一个问题：处理广告贴的方法主要提高发广告的成本，降低发广告的效果，具体操作其实就是删除。<br><br>关于质量和数量的问题，我在下面问题尝试回答了一下：<br><a href=""http://www.zhihu.com/question/19555411"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">5411</span><span class=""ellipsis""></span></a><br><br>所以「想清楚」是阶段性的，一则情况会发生变化，二则此事真的是长跑。 "
1296490985,知乎的名字和罗大佑有关吗？, 我知道罗大佑的《之乎者也》被认为是华语流行乐坛的开山之作，不过知乎和罗大佑一点关系都没有。 
1296561538,知乎（zhihu.com）这个域名是2007年注册的？," 我购买 <a href=""http://zhihu.com"" class=""internal""><span class=""invisible"">http://</span><span class=""visible"">zhihu.com</span><span class=""invisible""></span></a> 的时候已经是 2010 年 11 月了，07 年到 2010 年期间发生的事情我也不清楚。<br><br>可以分享的故事「知乎这个名字怎么来的？」<br><a href=""http://www.zhihu.com/question/19550393"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">0393</span><span class=""ellipsis""></span></a> "
1296563845,知乎为什么没有采用其他开放平台的用户系统，同时借助其他开放平台进行用户邀请？," 和其他开放平台合作本身不是目的，我们不确定采用这个方式能否为知乎带来高质量的用户群，对创造优良的社区氛围是否有明显的好处，所以做法会谨慎一些。<br><br>另外，我在下面的问题回答过合作的价值：<br><a href=""http://www.zhihu.com/question/19554860"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">4860</span><span class=""ellipsis""></span></a><br><blockquote>合作好比是做乘法，任何一方价值是 0，那结果也就是 0，知乎需要努力增加自身的价值，这样的合作才会产生真正的价值交换。<br></blockquote>"
1296566377,知乎为什么没有直接显示每个问题的提出时间，而只显示了回答时间？," 我们淡化了问题的提出时间，是因为问题可能被多人多次修改，把时间显示在旁边对问题的质量没有什么帮助。<br><br>如果是需要查看问题的历史修改记录，可以在问题日志里找到，比如：<a href=""http://www.zhihu.com/question/19556473/log"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">6473/log</span><span class=""ellipsis""></span></a> "
1296715050,黄继新是谁？, 黄继新是我的高中校友，比我大三届，有名的才子。我的高中语文老师（因为正好相差三届，我和黄继新的语文老师是同一位）告诉我黄继新是她教过的最有才华的学生——当时我还以为老师会说是我，很打击。<br><br>我在贵阳的时候其实不认识黄继新，但听说过一些关于他的轶事（我读高中时）。比如他似乎轻而易举就赢取了我们小区最漂亮女孩的芳心，每天夕阳微熏的时刻，总有一个抽烟的帅哥把漂亮女孩送回家，此事曾一度成为小区的美谈。<br><br>黄继新拥有强大的现场气氛平衡力，我刚认识他时，他是《环球企业家》的记者。07 年冬天，他和张亮，黄河还有我在簋街吃饭，当时张亮和黄河问了很多我答不上的问题，比如对媒体的理解，如何观察一个行业和 CEO，搞得像是面试一样。那次是我第一次见识了黄继新强大的气氛平衡力，他帮我回答了很多问题，让我不至于太尴尬。<br><br>08 年他去搜狐财经任主编，在任期间，社交活动频繁，无空搭理我，无料可爆。<br><br>现在黄继新是创新工场的资深投资经理。他是我见过的体力最好的人，我无法想像如果每天都是晚上 2 点睡觉，第二天早上 9 点到公司 ，我能不能坚持 1 个月，但继新似乎 1 年以来都如此，他是如何做到的？还请他自己来说说：） 
1296742727,发现其他人的答案里有错别字，怎么修改？, 目前知乎上的答案是不能共同编辑的，所以无法直接修改。一个方法是可以在答案的评论里告诉他，回答者会收到评论通知。 
发布时间,问题,回答
1296812685,为什么知乎首页的新通知按了“我知道”以后，首页上还会有一个未读标记？, 这是一个 bug，我们会修复，请多包涵。 
1296820254,知乎为什么不提供手机客户端？, 因为知乎团队的人不多，「重要但不紧急」的事情肯定要往后排了。 
1296826277,知乎团队希望用户以怎样的形式提交 bug 的反馈？, 报告一个知乎臭虫（bug）的最好的方法，就是把 bug 分享出来，让 bug 无处可藏。以提问的方法提 bug，我们会及时回复，处理进度和结果也可以让更多的用户看到。 
1296892569,如何在知乎提出一个好问题？,"<b>1）真实的提问</b><br>保证在提问时，自己是怀着一颗对世界真实的好奇心，对问题有过有认真的思考是最重要的。其它粘贴复制来的问题，和为了提问而产生的问题，都很难成为了好问题。<br><br><b>2）虚心接受他人的修改</b><br>提好问题需要智慧，靠一个人的力量也许完成不了，知乎采用了类似于维基百科的共同编辑机制，所有人都拥有修改权限，每个人都是创造者，是编辑。请参阅：为什么别人可以修改我在知乎上的提问？<a href=""http://www.zhihu.com/question/19550238"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">0238</span><span class=""ellipsis""></span></a><br><b></b><br><b>3）一定要用辞贴切，语法正确，拼写无误</b><br>我们从经验中发现，粗心的写作者通常也是马虎的思考者（我敢打包票）。 回答粗心大意者的问题很不值得，我们宁愿把时间耗在别处。<br><br>正确的拼写，标点符号和大小写很重要。 更一般的说，如果你的提问写得象个半文盲，你很有可能被忽视。<br><br><b>4）话不在多 </b><br>你需要提供精确有效的信息，尽量脑中的信息剪裁得越小越好。<br><br>这样做的用处至少有三点。第一，表现出你为简化问题付出了努力，这可以使你得到回答的机会增加；第二，简化问题使你得到有用答案的机会增加；第三，在提炼的过程中，也许你自己就能找出问题所在或作出更正。<br><br><b>5）明白你想问什么 </b><br>漫无边际的提问近乎无休无止的时间黑洞。最能给你有用答案的人也正是最忙的人（他们忙是因为要亲自完成大部分工作）。这样的人对无节制的时间黑洞不太感冒，因此也可以说他们对漫无边际的提问不大感冒。<br><br><b>6）去除无意义的疑问 </b><br>别用无意义的话结束提问，例如“有人能帮我吗？”或者“有答案吗？”。 首先：如果你对问题的描述不很合适，这样问更是画蛇添足。其次：由于这样问是画蛇添足，别人会很厌烦你──而且通常会用逻辑上正确的回答来表示他们的蔑视，例如：“没错，有人能帮你”或者“不，没答案”。<br><br><i>以上部分内容参考了 2001 年 9238 翻译过一篇 Eric S. Raymond 的文章《提问的智慧》<br><a href=""https://link.zhihu.com/?target=http%3A//www.dianbo.org/9238/stone/tiwendezhihui.htm"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">dianbo.org/9238/stone/t</span><span class=""invisible"">iwendezhihui.htm</span><span class=""ellipsis""></span></a> （原文内容以黑客邮件组为基础，我适当做了修改。）</i> "
1296903300,知乎为什么不像百度说吧一样用身份证和手机号码的方式来实名认证？, 你在知乎上每一次回答，每一次编辑，每一次获得赞同或感谢，这都是在为你背书。显然身份证和手机号做不到这一点。 
1296928725,知乎团队的初心是什么？,2010 年 10 月 15 日的一封全体信，记录了我们最初的想法：     <br><blockquote>我们相信一点，在垃圾泛滥的互联网信息海洋中，真正有价值的信息是绝对的稀缺品，知识──被系统化，组织化的高质量信息──都还存在于个体大脑中，远未得到有效的挖掘和利用。知乎提供了一个产生，分享和传播知识的工具，我们鼓励每个人都来分享知识，将每个人的知识都聚集起来，并为人人所用。</blockquote>基于这个想法，我们的初心是：<ul><li><b>每个人都是某个领域的专家，知乎能帮助每个人去展现自己亮闪闪的一面<br></b></li><li><b>知乎将成为一个由人们的知识、经验和见解组成的 P2P 网络<br></b></li><li><b>知乎帮助拉近人与人之间的距离<br></b></li><li><b>知乎将持续产生高质量、可沉淀的信息，并让有价值的信息和人都关联起来</b></li></ul>
1297212935,「全局日志」能看到多长时间之前的记录？, 全局日志的意思一是全体用户的编辑记录，二是全部编辑时间。所以全局日志里有从第一次编辑到现在的所有编辑记录。 
1297266064,知乎上，有无或有哪几个人会自动关注所有新用户？, 没有。 
1297348575,刚才我的问题什么地方没有阐述清楚请指点？," 问题：<a href=""http://www.zhihu.com/question/19558917"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">8917</span><span class=""ellipsis""></span></a><br><br>需要详细说明一下什么是穷二代社交，最好加上补充说明里。另外，问题的标题也太长了，不利于其他用户搜索找到，可以去掉「过年的时候我设计了一个网站」这段信息，因为是谁做的网站和「如何设计令人兴奋的功能」无关。<br><br>希望对你有帮助。 "
1297401936,遇到胡乱修改问题的人怎么办？修改问题时应该加入一些限制吗？," 如果是恶意修改行为，知乎绝对禁止，会直接停用这个用户的帐号，用户如果发现了恶意行为，也可以在问题页面举报。<br><br>如果修改是为了让问题更好，这是知乎鼓励的行为。当然也有可能出现希望改好，但实际结果不如改前的情况。这需要大家互相理解，分享是一个互助的过程，想想将来这样内容会有更多的人看见，每个人都在创造价值。<br><br>这里有一些判断方法：<br><br><b>被修改的问题本身是知乎禁止的问题，修改的目的是为了改进，这是鼓励的。</b><br>请参考：知乎禁止提哪类问题<br><a href=""http://www.zhihu.com/question/19553510"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">3510</span><span class=""ellipsis""></span></a><br><br><b>修改的目的是为了让问题更通用，增加问题的价值，这是鼓励的。<br></b>请参考：为什么知乎鼓励让问题减少个人特色？<br><a href=""http://www.zhihu.com/question/19552850"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">2850</span><span class=""ellipsis""></span></a><br><br><b>修改问题的语法，措辞，提高问题的质量，这是鼓励的。</b><br>请参考：为什么别人可以修改我在知乎上的提问？<br><a href=""http://www.zhihu.com/question/19550238"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">0238</span><span class=""ellipsis""></span></a><br><br>另外，对如何在知乎提出好问题，也有一些建议：<br><blockquote>2）虚心接受他人的修改<br>提好问题需要智慧，靠一个人的力量也许完成不了，知乎采用了类似于维基百科的共同编辑机制，所有人都拥有修改权限，每个人都是创造者，是编辑。</blockquote><a href=""http://www.zhihu.com/question/19555761"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">5761</span><span class=""ellipsis""></span></a> "
1297403459,知乎在线用户高峰集中在什么时间段？, 目前看，半夜 12 点最活跃。 
1297441861,知乎能否把我关注问题的新答案、新关注我的人，在我上线时一网打尽地汇总呢？, 完全可能，我们已经在这么做了。 
1297443789,知乎能不能对答案进行全文检索？,<b><u>更新：2012 年 3 月已经支持全文搜索。</u></b><br><br> 还不行，现在在搜索框里只能搜索话题，问题和人。<br><br>不过经过一段时间的内测，我们发现答案搜索功能很有必要，所以，这项功能已经加入到我们的工作列表里了。 
1297476322,我被邀请注册之后，如何才能邀请别人？," 我们周期性会给用户增加邀请名额，但目前知乎是「限量」邀请制，所以需要等待的时间会比较长，名额也不会多。<br><br>不过，相比周期增加的方式，我更倾向于让活跃的高质量的用户获得更多的邀请名额，来邀请更多的活跃高质量用户。这里有几个建议：<br><ul><li>在知乎上多提好问题，多提供好答案；<br></li><li>多给知乎提建议，给我写邮件或者在新浪微博上 @知乎都可以；<br></li><li>多参与知乎社区的管理，比如帮助他人，添加话题等；<br></li></ul><br>我的邮箱是 thinkingit[at]<a href=""https://link.zhihu.com/?target=http%3A//gmail.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">gmail.com</span><span class=""invisible""></span></a> "
1297483028,我不想再看到我不感兴趣的某个问题，知乎该如何处理？, 我们会提供一个 mute 功能，不想看的，不想出现在自己 feed 中的，可以不看，不出现。 
1297483766,知乎的邮件邀请加个重发键吧。对方接收失败，没法儿设置重发。, 没问题，重发邀请邮件功能会有的。 
1297485139,为什么用电信3G卡上网，默认 DNS 有一半的概率找不到知乎？, 昨天知乎迁移了 DNS 服务器，造成国内部分地区用户访问出问题， DNS 生效需要时间，现在正在逐步恢复中。 
1297485870,知乎的服务器是在国外吗？目的是什么？, 知乎的服务器之前是在国外，主要是测试期使用美国的 VPS 方便，性价比高，当然缺点也很明显，速度慢，开展国内业务也有不利的地方。<br><br>现在服务器已经迁移回国内了。 
1297492284,取消关注的问题，为什么还会显示在我的主页？而且每赞同一个答案，也会把该问题添加到我的主页，这样会不会太乱了。, 取消关注的问题就不会出现在你的个人主页了。赞同一个答案相当于你推荐了它，是会出现在你的个人主页中的。 
1297517270,创业是自筹资金好还是拿天使投资更好？, 我觉得此事没有绝对的好与坏。<br><br>从大道理上讲，把一件事做成，需要依靠各种力量来推动，只有一枚助推器的火箭冲不出大气层。天使投资，包括 A 轮 B 轮的投资能解决创业团队本身解决不了的问题，两方都是关键的推动因素。<br><br>创业者和投资人之间，并不是简单资金上的合作，创业者找投资人是在寻找一个坚强的伙伴，天使阶段找的是帮助你起步的伙伴，扩张阶段寻找的是帮助你做大的伙伴。而投资人寻找的是各个领域的机会和能够挖掘机会的人，并帮助他们。<br><br>论具体到资金上的好坏，我觉得自筹资金最大的问题，是可能错失天使的助力，想想他有可能去帮助你的竞争对手，你会失去很多资源拓展的机会；而创业者拿天使投资最大的隐患，则是在关键时刻缺乏破釜沉舟的勇气，往后一退，拍屁股走人了。 
发布时间,问题,回答
1297528472,随着知乎的「问题通知」越来越多，你是否会手动取消对于某些「问题」的关注？, 其实不需要取消关注，除非是自己周期性的知识整理。现在造成信息过载感觉的主要原因并不是真的过载，而是知乎的通知查看功能用起来不太顺手，处理通知成本太高造成的。<br><br>产品易用性方面的问题，我们会改进。 
1297587914,个人图片显示为默认，数据丢失（youpai.com托管问题）or服务器宕机？," 头像图片托管在 <a href=""https://link.zhihu.com/?target=http%3A//yupoo.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">yupoo.com</span><span class=""invisible""></span></a>，现在 <a href=""https://link.zhihu.com/?target=http%3A//yupoo.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">yupoo.com</span><span class=""invisible""></span></a> 服务不稳定，正在查原因。 "
1297589337,我在哪里能集中看到：我还没回答的问题，已经回答的问题，还需要继续补充答案的问题？,"<b>在首页-&gt;回答（<a href=""http://www.zhihu.com/question/open"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/open</span><span class=""invisible""></span></a>）</b><br>可以看到：<br><ul><li>别人问你的问题（仅你可以回答）<br></li><li>别人邀请你回答的问题<br></li><li>你或许能回答的问题（系统推荐给你的）</li></ul><br><b>在首页-&gt;草稿（<a href=""http://www.zhihu.com/draft"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/draft</span><span class=""invisible""></span></a>）</b><br>可以看到你保存了草稿，但还没有提交的回答<br><br><b>在你的个人主页-&gt;答过（<a href=""http://www.zhihu.com/people/gene/answers"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/people/gene/a</span><span class=""invisible"">nswers</span><span class=""ellipsis""></span></a>）</b><br>可以看到你回答过的问题和你的答案 "
1297599778,为什么不能和微博一样，@某个人？可以链接过去呢？, 现在不可以，因为我们还没有开发这个功能。但@的确很有用，我们有计划实现。 
1297742629,知乎是什么时候上线的？," 线上系统是 2010 年 12 月 20 日凌晨 3 点 19 分 20 秒开始运转的，我们把这一天当做知乎的生日：）<br><br>然后 2011 年 1 月 26 日开始邀请公测，同时切换到 <a href=""http://www.zhihu.com"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com</span><span class=""invisible""></span></a> 域名。 "
1297760043,为什么有些话题无法关注，是 Bug ?, 抱歉，这的确是个 bug，我们已经修复，很快会上线修复的版本。 
1297762027,同名用户如何排序，解决方案是什么？, 目前对同名用户的主要排序参考因素有：<br><ul><li>关系的远近<br></li><li>提问和回答的数量<br></li></ul>
1297821015,为什么知乎顶部的搜索框变成了添加问题框？搜索在哪里呢？," 请参考：为什么知乎搜索框中输入内容回车后是添加问题？<br><br><a href=""http://www.zhihu.com/question/19554511"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">4511</span><span class=""ellipsis""></span></a> "
1297871300,知乎的「没有帮助」是一种挫败感很强的设计吗？, 知乎鼓励认真的回答，高质量的回答，而不是仅仅在鼓励回答的行为。<br><br>建议每次回答前，都想想自己的回答是不是真的切题，对他人有帮助。如果对自己的回答没有把握，更好的方式是关注这个问题，阅读他人的答案。<br><br>另外，没有帮助的答案是在底部折叠起来的，除非特意点开，否则是不容易看到的。 
1297930965,我想让一些网络上的朋友一起共享这个账户，可以吗？," 不需要采取这个方式，你直接让你的朋友在<a href=""http://www.zhihu.com/apply"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/apply</span><span class=""invisible""></span></a> 申请注册就好了。 "
1297932166,知乎是否有必要增加一些社交类的功能？比如私信？, 设置私信就代表社交是重要的？<br><br>重不重要由用户说了算，如果用户觉得没有用，不重要，产品再怎么强化突出也是没有用的。<br><br>现在没有私信功能，原因是我们人手有限，工作量一排下来，私信就成了「即将开发」的功能了。 
1297965231,知乎在数据跟踪和分析方面有哪些专家？," 天岸（夏海龙）：法国奥美数据分析师<br><a href=""http://www.zhihu.com/people/webanalytics"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/people/webana</span><span class=""invisible"">lytics</span><span class=""ellipsis""></span></a> "
1298025058,在我的问题下，对别人的答案进行评论，为什么问题提出者收不到通知？, 对答案的评论，只有这个答案的回答者和评论者可以收到通知。<br><br>如果是对问题的评论，问题的提出者就可以收到通知了。 
1298025658,我什么也没想写，只是点了一下回答框，怎么也作为草稿存储了呢？," 请参考：<blockquote>知乎的回答编辑器中是空的，为什么也会自动保存草稿？<br><a href=""http://www.zhihu.com/question/19557939"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">7939</span><span class=""ellipsis""></span></a></blockquote>"
1298072572,知乎是创新工场开发的吗？," 不是。<br><br>这个问题之前有人问过。<br><a href=""http://www.zhihu.com/question/19554375"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">4375</span><span class=""ellipsis""></span></a> "
1298106772,初创团队的交互设计和视觉设计和前端 UI 谁来做？," 我觉得最好的方法就是找一个靠谱，有水平的设计师来兼职做此事。在认可设计师专业水平的前提下，确保他产品有深刻的理解就行了，剩下的工作就信任他，别频繁和他抠细节，尽量放手让他独立完成。<br><br>我不建议找外包公司，相比自己把设计搞定，让工程师去和外包公司谈合作，定价，沟通进度的难度会大很多。<br><br>外包公司通常会遇上的问题有：<br><ul><li>很快就能明白这活要花多少时间，能赚多少钱，但可能到项目结束也不明白项目的意义；<br></li><li>限制设计版本的修改次数，这会导致严重走样的风险；<br></li><li>不限制设计版本的修改次数，结果成了你说改什么，就改什么，没有专业建议；<br></li><li>可以保证时间，但未必保证质量（设计的质量不容易有参考标准）；</li></ul><br>知乎第一版本的设计师是杜潇，他兼职完成了全部的设计工作。<br><br>杜潇：<a href=""http://www.zhihu.com/people/disinfeqt"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/people/disinf</span><span class=""invisible"">eqt</span><span class=""ellipsis""></span></a> "
1298214827,垂直类问答网站会不会有生存的空间和发展的机会？, 以搜索为主的问答会比较难，因为用户分辨不出来，这和垂直搜索很难做一个道理。<br><br>以 SNS 为主的垂直问答，我相信会很有机会，人的聚合永远是细分的。 
1298397264,知乎的问答方式，比论坛好在哪里？," 问答是人的一个基本需求，论坛则是一种产品形态。我觉得两者没法直接进行比较。在论坛里也会有人提问题和回答，并产生有质量的内容，所以，问答也不是区分知乎和普通论坛的关键区别。<br><br>知乎的问答，表面上是问答，背后则是 SNS，是人，话题和问题的相互联系。对一个产品来说，知乎不可能去造一个全新的问答方式，而是尽可能的还原真实社会人的问答需求。<br><br>真实的问答是什么？想想就会明白，真实的问答过程，基本上就三种情况<br><br>1）问周围的人，听点或许有用的答案；<br>2）想办法问专家，听点专业和全面的答案；<br>3）通过推荐和等待，托关系去问，找到那些最合适的人来回答。<br><br>问周围人几乎没有成本，你永远可以问自己的家人或者邻居应该去微软还是去 Google，但你问或不问，答案都很明显，他们真的帮不了你；而要从懂行的专家和对此问题有亲身经验的人那里得到一个答案，成本很高，或者根本没有这样的机会。所以，真实的问答，往往是不尽如人意的。<br><br>知乎希望做到的一点，就是把「让最合适的人来回答最合适的问题」交给所有人来推动，比如有人提了关于法律的问题，这个问题很快会被关注法律话题的人看到，再由他们帮助邀请领域专家来解答。这样，每个人获得靠谱答案的机会就会增大，分享的人多了，帮忙的人多了，社区的力量也会得到验证和增强，这是一个良性循环。<br><br>前面说得有点空洞了，说点具体的：<br><br>知乎的信息机制比普通论坛要先进，论坛的信息组织方式决定了其不可能做到无穷大，<blockquote>1000万人同时讲话，等于没人讲话，SNS可以做到无穷大，5亿人同时讲话，不会互相打扰。</blockquote><a href=""http://www.zhihu.com/question/19553800"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">3800</span><span class=""ellipsis""></span></a><br>知乎的质量保障机制比普通论坛有更多优点，知乎一开始就有淘汰垃圾内容的机制，把论坛中大量出现的「路过帖，沙发贴，mark 贴」进行了功能化，这一方面去掉了垃圾内容，另一方面保留了「拜楼主」的激励功能，每次记名的赞同相当于在微博上进行了一次高质量的转发。<br><br>长期来看，知乎会超越媒体成为工具，算法就成为核心，让不同的人分配到不同的问题。<br><br>-<br>最后说一点，好坏之别，有时候不需要讨论。比如，有人会用博客来写微博，有一句写一句，也觉得挺好挺开心。这种好坏其实没有标准，只有个人的好恶而已。 "
1298467525,如何找到自己已经回答过的问题？," 每个人的个人主页上都有一个「答过」<br><br>比如用户李树滨回答过的问题在这里：<a href=""http://www.zhihu.com/people/manu/answers"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/people/manu/a</span><span class=""invisible"">nswers</span><span class=""ellipsis""></span></a> "
1298559655,如何查看自己已经关注的话题列表？," 在每个人的主页上线可以查看到自己或其他用户的话题关注列表。<br><br>例如用户潘立的关注的话题列表在：<a href=""http://www.zhihu.com/people/pan-li/topics"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/people/pan-li</span><span class=""invisible"">/topics</span><span class=""ellipsis""></span></a> "
发布时间,问题,回答
1299125411,这里回答的问题你们会考虑用于别的地方吗？如果盈利性使用（比如出版），如何向信息提供者支付费用？, 没考虑过。我们是初创公司，相比考虑盈利的可能性，还有一大堆更实际的问题等待解决，比如网站速度，功能完善，用户体验改善等。<br><br>出版嘛，我觉得一家网站依靠出版社是养不活自己的，所以靠出版来盈利机会渺茫。<br><br>知乎最能彰显能力的是帮助用户树立在各自领域的个人品牌和影响力。如果大家觉得出书令人兴奋，有价值，那我们倒也乐意为之。 
1299686106,创业公司如何给技术人员进行薪酬分配？, 对于刚成立，很小的创业团队来说，实行绩效工资肯定是一个低杠杆力，甚至是完全不给力的方案。刚成立的团队其实很简单，3、4 个人没日没夜，在 2 个月内拼出第一版产品，驱动力全靠一鼓作气的信念。<br><br>在这个阶段其实谈不上考核，大家都挤在一间小破办公室里，一天 2/3 的时间都呆在一块，工作量肯定都超额。我觉得如果真要考核，可能有两点，1）工作时彼此的气场，沟通方式，个体风格是否能在高强度的开发过程中被充分磨合──标准是平时彼此的认同感当升级为战斗状态时是否还依然存在；2）真正有效的工作方法是否能被沉淀，创业团队有时候埋头做事，做得好的没人表扬，做得不好的也没人提，都忽略掉了，浪费了沉淀的机会。 
1299686611,初创公司怎样在人才壁垒下找到技术团队 Leader ？, 但薪资的数字高低也因人而异，有人天生就是创业者，他觉得创业机会更重要，那高薪在他眼里就不是不可放弃的饭碗。<br><br>所以我觉得真正有价值的事情就一件：让他相信这件事，并给点时间让他自己去判断和验证。 
1299987950,知乎怎样应对“人情”对问答质量的影响？, 我们肯定是注意到了。 <br><br>但谈不上「应对」，我相信社交网络和社区映射的永远是真实的人群和关系。如果人情不存在于真实的人和人沟通交流，那网络上也造不出来；反过来，如果人情乃万物皆有，那一定要「不近人情」的做法也会遇上阻力。<br><br>按这个道理很容易找到一些例子，比如新浪微博上有朋友会发私信问「为什么我关注你了，你不关注我？」虽然你是真的不关注他，但顾及朋友关系，也难免最后还是关注了。还比如，有人在知乎上回答了你提的问题，可能答案质量一般，但回答者非常认真，你还是有可能心存感激的。<br><br>上面的例子，当然可以通过功能调整的方式来改变。不过万变不离其宗，人和人的沟通是建立在一种弹性的认可之上的，如果到了知乎就成了刚性的规则，那一定会拧巴。 
1300178616,在知乎中的问题不能用文字来形象说明的时候，是否考虑过“添加图片”或者其他链接等功能？," 之前在「如何在知乎问图像、视频、音频类的问题？」已经有过回答，请看这里：<a href=""http://www.zhihu.com/question/19554150"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">4150</span><span class=""ellipsis""></span></a> "
1300559842,为什么知乎上有这么多无背景无细节、宏大叙事询问产品解决方案的问题？, 这其实不是内容的问题，而是内容和人群区隔的问题，我们会逐步解决。 
1300725345,您好，关于知呼新通知我提个建议。, 我们能明白你的需求，要在通知区域呈现更多的信息还挑有挑战的，尤其是通知量大的情况下，通知的作用其实就仅仅是「通知」，而非阅读。<br><br>我们的通知功能还需要完善，肯定的。<br><br>另外，我们叫「知乎」，而不是「知呼」：） 
1300725735,怎么获得知乎的邀请码啊？好多朋友在寻找，能否赠送几个邀请码啊？," 正确有效的方法是：<a href=""http://www.zhihu.com/question/19567708"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">7708</span><span class=""ellipsis""></span></a> "
1300946954,为什么知乎仍然不允许未注册用户浏览？, 我们并没有刻意去营造「吃不着葡萄就说葡萄酸」啦，其实我们压根儿没有做推广……更多是用户主动在谈论。<br><br>知乎上线运转的时间很短，目前还在内测期，我们的大部分时间都花在了产品改进和功能优化上，前一段时间集中精力改进了访问速度的问题，目前系统稳定性也不理想（包括上周两次比较严重的宕机），所以在这种情况下，我们会一直保持封闭内测的状态。<br><br>另一方面，内测期的知乎在邀请码发放数量上控制比较严格，因为要获得长期持续的成长真的是需要一个过程的。大家最近也在知乎上提到内容水化的问题，质量如果下降，那知乎给用户提供的价值也会减小。我们希望和用户一起来培养一个认真提问和回答，认真分享，让高价值知识有效沉淀的社区氛围。所以现在严格一些，价值积累更多一些，等够好的时候再让大家来访问。 
