发布时间,问题,回答
1313500172,在知乎上如何分享单个答案？分享单个答案有什么好处？, 在知乎上分享单个答案，可以让未注册知乎的朋友也能看见该答案。操作方法是：<br><ol><li>在问题页面，找到你要分享的答案，该答案下方有一个时间链接，点击进入；<br></li><li>进入了该答案的单独页面，页面右侧栏有一个「分享答案」；</li><li>点击「分享答案」，选择微博分享，确认即完成了一条微博分享。</li></ol>
1313580848,如何用很多照片拼出一个头像、或者一幅画？," iPhone 上有一个 App 可以将相册中的图片用来生成一张合成图片：Photo Mosaica <br><a href=""https://link.zhihu.com/?target=http%3A//itunes.apple.com/us/app/photo-mosaica/id437992891%3Fmt%3D8"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">itunes.apple.com/us/app</span><span class=""invisible"">/photo-mosaica/id437992891?mt=8</span><span class=""ellipsis""></span></a> "
1313659267,拷贝或网上下载来的 .ipa 文件可以直接通过 iTunes 安装到自己的 iPhone 上吗？, 分别回答这三个问题<br>1. 要勾选；<br>2. 除非你朋友将自己的账号授权给你电脑上的  iTunes ，否则不能安装，不是仅有 ipa 文件就可以安装的；<br>3. 还是不能同步，因为不能授权。除非你是破解之后，下载盗版软件。 
1313665414,知乎是否会清除从注册至今N个月（N>3）没有任何活动迹象的ID？, 不会的。 
1313670415,有没有「新手入门」「新手帮助」这样栏目方便新用户熟悉使用知乎？," 是的。<br><br>知乎每个页面的最底部都有一个链接「新手入门」，是图文版的，帮助新手了解和使用知乎：<a href=""http://www.zhihu.com/help"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/help</span><span class=""invisible""></span></a><br><br>另外，更多关于知乎的指南和规范，可以看另一个链接「知乎指南」<br><a href=""http://www.zhihu.com/question/19581624"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1958</span><span class=""invisible"">1624</span><span class=""ellipsis""></span></a> "
1314081773,MacBook Pro 能像 PC 一样使用 3G 上网卡吗？, 用过联通的一个 3G 上网卡，可以支持 Mac 。驱动是上网卡内置的，安装一下就可以了。 
1314086827,若是我不修改网名，下面的提示会一直在么？, 是的，知乎的用户管理细则做出修改或调整之前，会一直存在。<br><br>如果您在微博和豆瓣等社区也使用同一个 ID ，且在不违反知乎用户名规范的前提下，你可以向管理员申请取消该通知（发私信给管理员，或发邮件到  i@zhihu.com），继续使用该网络 ID 并维护这个 ID 的个人信用。<br><br>知乎未来的用户名管理细则可能会有所调整或改变。 
1314241650,乔布斯提议蒂姆·库克担任苹果公司新 CEO ，最看中蒂姆·库克的什么能力？," 蒂姆·库克或许不是作为苹果 CEO 最完美的人，但他是乔布斯能找到运营苹果公司的最佳人选。<br><br>关于蒂姆·库克是一个怎样的人，之前 <a href=""https://link.zhihu.com/?target=http%3A//Apple4.us"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">Apple4.us</span><span class=""invisible""></span></a>  的这篇《谁是 Tim Cook？》文章（<a href=""https://link.zhihu.com/?target=http%3A//apple4.us/2008/08/who_is_tim_cook.html"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">apple4.us/2008/08/who_i</span><span class=""invisible"">s_tim_cook.html</span><span class=""ellipsis""></span></a>）有很好的介绍，以下摘要：<br><br>""他是那些故事背后的故事。""硅谷老将，前苹果高管 Mike Homer 说。<br><br>这个阿拉巴马州人在 Auburn 大学主修工业工程，在杜克大学拿到了商业管理硕士，此前曾经为 Compaq，IBM和一家叫做 Intelligent Electronics 的电脑经销商工作。他以资深副总裁的身份加入苹果，掌管电脑制造业务。Jobs 后来又把苹果全球销售和 Macintosh 部门交由他负责。07 年十月 Cook 成为公司的 COO，从而身为 Jobs 的主要副手。<br><br>他推动苹果的部件供应商在地理上贴近产品组装厂。这使得供应商把部件保留在自己的库存里而不用算在苹果头上。1998 年 9 月 25 日财政年度结束时，苹果只维持着 6 天的库存量，相当于 7800 万美元的商品价值，这比上年的 31 天库存量和 4.37 亿美元大幅降低。到了 1999 年年底，Cook 进一步把该数字挤压为 2 天和 2000 万美元。在他的管理下，苹果被 AMR Research 评为全球最佳供应链管理第二名，甚至高于以此闻名的戴尔电脑。是 Tim Cook 让苹果的运营能力与乔布斯的创造力相匹配。<br><br>当 Jobs 因为给苹果产品线重新带来了灵气而得到普遍赞扬的时候，Cook 只是一个低调的运营官，在幕后确保公司顺利地运转。<br><br>Jobs 以脾气无常和牙尖嘴利著称，而 Cook 则是一派南方绅士的温良风度。和他共事的人说，他沉静的姿态和从容的作风对苹果这家充斥着爱敲桌子的家伙的步履匆匆的公司来说是一种缓和的力量。<br><br>Cook 在苹果以长时间工作著称，他单身，把大多数业余时间用在体育锻炼上。了解他的人说他是个活跃的脚踏车骑手，常常在苹果会议中引述著名自行车手 Lance Armstrong 的话，并且通常早上五点就呆在健身房里。Cook 的办公室和家里都张贴着 Auburn 老虎队的大事记，这是他母校的橄榄球队。<br>⋯⋯ "
1314263070,原 COO 蒂姆·库克担任苹果 CEO 之后，谁负责苹果公司的运营工作？," 根据苹果官方更新后管理层信息，蒂姆·库克担任苹果新 CEO 之后，目前苹果还没有新的 COO ，原来向蒂姆·库克汇报的杰夫·威廉姆斯（Jeff Williams）担任新的运营高级副总裁。<br><br><a href=""https://link.zhihu.com/?target=http%3A//www.apple.com/pr/bios/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">apple.com/pr/bios/</span><span class=""invisible""></span></a> "
1314266234,怎样用 Mac OS X Lion 的「预览」功能给 PDF 添加手写的签名？,<ol><li>用预览功能打开 PDF 文档，点击菜单中的「显示」-「显示注解工具栏」；</li><li>在工具栏中可以看到「签名」按钮，（符号类似 *S），点击在下拉菜单中选择「创建来自“内建 iSight”的签名」；</li><li>摄像头已启动开始拍摄，将自己的签名写在一张白纸上，对准摄像头的合适位置，摄像头会拍摄识别，完成点击「接受」就创建了电子签名。 </li><li>要在 PDF 中插入签名的时候，直接点击「签名」按钮，选择你要插入的位置即可</li><li>签名存储之后可以多次使用，也可以创建多个签名。</li></ol>
1314288339,苹果产品设计的流程是什么样的？,"之前在 <a href=""https://link.zhihu.com/?target=http%3A//Apple4.us"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">Apple4.us</span><span class=""invisible""></span></a> 翻译过一篇《苹果的设计流程》  <br><a href=""https://link.zhihu.com/?target=http%3A//apple4.us/2008/03/post_69.html"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">apple4.us/2008/03/post_</span><span class=""invisible"">69.html</span><span class=""ellipsis""></span></a>  <br><br>在 SXSW 的聚会（South by Southwest，美国 IT 界的春假）上，苹果公司的高级工程经理 Michael Lopp 做了一段有趣的陈述，说明为什么苹果公司总是能够得到卓越的设计，向用户交付了一个又一个完美的产品，而其他很多公司的尝试都是以失败告终的。  <br><br>Michael Lopp 透露了一些苹果设计流程的细节：  <br><br><b>像素完美模拟 / </b><b>高保真原型</b>（Pixel Perfect Mockups）  <br><br>Lopp 承认，这个过程需要花费大量的工作和极其长的时间。他说：”这个过程就是要去除所有的瑕疵和含糊不定的地方。“ 这个过程在开始时可能会耗费大量的时间，但是它减少了在后期纠正错误和修改的时间。  <br><br><b>10 到 3 到 1 </b>  （10 to 3 to 1）  <br><br>对于任何一项新的设计，苹果的设计师们首先要拿出 10 种完全不同的模拟方案。Lopp 说，这并非让“其中有 7 个显得剩下的 3 个看起来不错”。 他们首先要求 10 个方案，是希望设计师们有足够的空间，在没有限制的情况下放开了想。然后他们会从中挑出 3 个，再花几个月的时间仔细研究这三个方案，最终决定得出（不一定是选出）一个最优秀的设计方案。  <br><br><b>两次设计会议</b>   （Paired Design Meetings）  <br><br>非常有趣的是，设计团队每周会有两次会议。一次是头脑风暴会议，完全忘记任何的条件限制，自由地思考，就如 Lopp 所说的，这次会议是”go crazy“。第二次是成果会议，这个会议与前一次会议正好相反，设计师和工程师必须明确每一件事情，前面疯狂的想法是否可能在实际中应用。尽管在这个过程中，重心已经转移到一些应用的开发和进展，  但团队还是要尽量多地考虑到其他各个应用的的潜在的发展可能。即使到了最后阶段，保持一些创造性的想法做后备选项也是非常重要和明智的。  <br><br><b>小马驹会议</b> （Pony Meeting）  <br><br>Lopp 提到，当一名高管提出自己对新产品的需求时，他会说：”我们想要所见即所得…… 我想要它能支持主流的浏览器…… 我们想要它能够表现出公司的灵魂。“ 但问题是，这些人只是在提出他们认为自己需要的东西（也就是说，未必是真的需要的）。但即使他们错了，他们仍是批预算的人，你也没法不鸟他们。  <br><br>解决办法就是，将设计团队每周两次会议上最好几个的想法交给领导层，他们只是决定，哪一个想法是他们渴望已久的小马驹。这样，一个变种的小马驹就可以交付使用了。C-Suite（CEO、CIO 等以 C 开头的主管）领导层对哪一个设计方案能够胜任，心里很明白，对下一步的工作也有绝对的话语权。这就确保了苹果的产品线不会出现低级的错误。  <br><br>PS：Michael Lopp 因为此次在 SXSW 上发言被苹果公司开除了。"
1314333214,关于乔布斯，知乎上有哪些精彩的问答？,"<b>乔布斯的工作</b><br><ul><li>乔布斯懂技术吗？<a href=""http://www.zhihu.com/question/19550370"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">0370</span><span class=""ellipsis""></span></a></li><li>乔布斯的思考方式是怎样的？<a href=""http://www.zhihu.com/question/19550967"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">0967</span><span class=""ellipsis""></span></a></li><li>为什么 Steve Jobs 拥有过人的说服力和鼓舞能力？<a href=""http://www.zhihu.com/question/19558881"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">8881</span><span class=""ellipsis""></span></a></li><li>乔布斯当初为什么会想到投资 Pixar ？<a href=""http://www.zhihu.com/question/19555773"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">5773</span><span class=""ellipsis""></span></a></li><li>乔布斯为什么将皮克斯卖给迪士尼？<a href=""http://www.zhihu.com/question/19600822"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1960</span><span class=""invisible"">0822</span><span class=""ellipsis""></span></a><br></li><li>苹果或乔布斯最早从什么时候开始想做智能手机？<a href=""http://www.zhihu.com/question/19555442"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">5442</span><span class=""ellipsis""></span></a></li><li>乔布斯提议蒂姆·库克担任苹果公司新 CEO ，最看中蒂姆·库克的什么能力？<a href=""http://www.zhihu.com/question/19828016"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1982</span><span class=""invisible"">8016</span><span class=""ellipsis""></span></a></li><li>史蒂夫·乔布斯和乔纳森·艾夫第一次见面的情景是怎样的？<a href=""http://www.zhihu.com/question/19552329"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">2329</span><span class=""ellipsis""></span></a></li><li>为何乔布斯的很多下属可以追随他十几二十年呢？<a href=""http://www.zhihu.com/question/19579987"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1957</span><span class=""invisible"">9987</span><span class=""ellipsis""></span></a></li><li>为什么乔布斯不喜欢按钮？<a href=""http://www.zhihu.com/question/19568649"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">8649</span><span class=""ellipsis""></span></a><br></li><li>史蒂夫·乔布斯是有史以来最伟大的 CEO 吗？为什么是？或为什么不是？<a href=""http://www.zhihu.com/question/19828507"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1982</span><span class=""invisible"">8507</span><span class=""ellipsis""></span></a></li><li>乔布斯辞去苹果 CEO 会对苹果产生什么影响？<a href=""http://www.zhihu.com/question/19827974"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1982</span><span class=""invisible"">7974</span><span class=""ellipsis""></span></a><br></li></ul><br><b>乔布斯的个人生活</b><br><ul><li>为什么乔布斯总是常年穿一身标准装束：黑色圆领衫、牛仔裤和运动鞋？<a href=""http://www.zhihu.com/question/19553924"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">3924</span><span class=""ellipsis""></span></a></li><li>乔布斯的那身行头有品位吗？<a href=""http://www.zhihu.com/question/19590906"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1959</span><span class=""invisible"">0906</span><span class=""ellipsis""></span></a><br></li><li>乔布斯的私人座驾是湾流的什么型号？<a href=""http://www.zhihu.com/question/19570425"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1957</span><span class=""invisible"">0425</span><span class=""ellipsis""></span></a></li><li>乔布斯最大的爱好是什么？<a href=""http://www.zhihu.com/question/19569072"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">9072</span><span class=""ellipsis""></span></a></li><li>乔布斯喜欢读什么书？<a href=""http://www.zhihu.com/question/19553821"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">3821</span><span class=""ellipsis""></span></a></li><li>乔布斯会画画吗？<a href=""http://www.zhihu.com/question/19660712"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1966</span><span class=""invisible"">0712</span><span class=""ellipsis""></span></a></li><li>乔布斯的大学生活是怎样度过的？<a href=""http://www.zhihu.com/question/19551621"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">1621</span><span class=""ellipsis""></span></a></li><li>乔布斯的子女做什么工作？<a href=""http://www.zhihu.com/question/19828448"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1982</span><span class=""invisible"">8448</span><span class=""ellipsis""></span></a></li><li>为什么很多硅谷 IT 大佬，如 Steve Jobs 和 Larry Ellison，都有日本情结？<a href=""http://www.zhihu.com/question/19569403"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">9403</span><span class=""ellipsis""></span></a></li><li>你如何理解乔布斯说的「如果今天是我生命的最后一天，那些原本今天要做的事我还想去做吗？」这句话？<a href=""http://www.zhihu.com/question/19554045"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">4045</span><span class=""ellipsis""></span></a><br></li></ul><b>关于乔布斯</b><br><ul><li>你从乔布斯身上学到的最重要的事是什么？<a href=""http://www.zhihu.com/question/19550554"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">0554</span><span class=""ellipsis""></span></a></li><li>乔布斯的经典语录和名言有哪些？<a href=""http://www.zhihu.com/question/19550244"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">0244</span><span class=""ellipsis""></span></a></li><li>如果乔布斯开始卖苹果品牌的汽车，这款车的设计会是怎样的？<a href=""http://www.zhihu.com/question/19578366"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1957</span><span class=""invisible"">8366</span><span class=""ellipsis""></span></a><br></li><li>乔布斯是否必然在互联网时代诞生？<a href=""http://www.zhihu.com/question/19694981"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1969</span><span class=""invisible"">4981</span><span class=""ellipsis""></span></a><br></li><li>关于史蒂夫·乔布斯的最好的几本传记是什么？<a href=""http://www.zhihu.com/question/19550380"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">0380</span><span class=""ellipsis""></span></a></li><li>乔布斯有授权过的官方传记吗？<a href=""http://www.zhihu.com/question/19595042"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1959</span><span class=""invisible"">5042</span><span class=""ellipsis""></span></a></li><li>关于乔布斯最好的文章有哪些？<a href=""http://www.zhihu.com/question/19553614"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">3614</span><span class=""ellipsis""></span></a></li><li>《乔布斯传：神一样的传奇》这本书怎么样？<a href=""http://www.zhihu.com/question/19769811"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1976</span><span class=""invisible"">9811</span><span class=""ellipsis""></span></a></li></ul>"
1314336737,乔布斯是不是说过「Google 的“不作恶” 口号就是放屁」？," 乔布斯确实说过，是 2010 年 1 月 26 日在苹果公司总部召开的一次员工大会上，<br><br>乔布斯的原话是：「 This don’t be evil mantra: “It’s bullshit.”」<br><br><a href=""https://link.zhihu.com/?target=http%3A//www.wired.com/epicenter/2010/01/googles-dont-be-evil-mantra-is-bullshit-adobe-is-lazy-apples-steve-jobs/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">wired.com/epicenter/201</span><span class=""invisible"">0/01/googles-dont-be-evil-mantra-is-bullshit-adobe-is-lazy-apples-steve-jobs/</span><span class=""ellipsis""></span></a><br><br><a href=""https://link.zhihu.com/?target=http%3A//apple4.us/2010/01/jobs_on_google_and_adobe.html"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">apple4.us/2010/01/jobs_</span><span class=""invisible"">on_google_and_adobe.html</span><span class=""ellipsis""></span></a> "
1314347911,苹果公司的内部文化是怎样的？," 如果要简单总结苹果公司的内部文化，应该是「工作辛苦但充满成就感」。<br><br><b>一、乔布斯谈苹果公司文化</b><br><br>2008 年乔布斯接受《财富》杂志专访（<a href=""https://link.zhihu.com/?target=http%3A//apple4.us/2008/03/post_62.html"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">apple4.us/2008/03/post_</span><span class=""invisible"">62.html</span><span class=""ellipsis""></span></a>）时，乔布斯有一段关于苹果公司文化的回答：<br><blockquote><b>关于苹果员工的动力</b><br><b><br></b><br>人这辈子没法做太多事情，所以每一件都要做到精彩绝伦。<br><br>因为，这就是我们的宿命。人生苦短，你明白吗？所以这是我们为人生做出的选择。我们本可以在日本某地的某座寺庙里打坐，我们本可以扬帆远航，管理层本可以去打高尔夫，他们本可以去掌管其他公司，而我们全都选择了在这辈子来做这样的一件事情。所以这件事情最好能够他妈的做好一点。它最好能够物有所值。我们觉得它的确还不赖。<br><br><b>关于乔布斯苛刻的名声</b><br><b><br></b><br>我的工作不是对人表现得和蔼可亲。我的工作是让他们做得更好。我的工作是把公司里的各种资源聚拢到一起，清除路障，然后把资源投放到最关键的项目上。我的工作就是把我们手下这些牛人们召集起来然后督促他们然后让他们做得好上加好。<br>怎么做呢？那就只好采取更为极端的思路。</blockquote><b>二、以高强度的工作著称</b><br><br>电影《硅谷海盗》（Pirates of Silicon Valley）有一段关于乔布斯强迫员工每周工作 90 小时的描写，情节可能并非完全真实，但或许能反应一些情况。很多互联网公司，比如 Google 、Facebook 给外界的印象是，员工的工作环境比较轻松、快乐，甚至永远 20% 的自由发挥时间。而苹果则是以虔诚地高强度工作著称。<br><br>曾有一个关于 Google 和苹果对比表格，有一条项目是关于员工工作的，我觉得描述的很传神 —— Google：把 20% 的工作时间用于自己感兴趣的项目；Apple：把 120% 的时间用于乔布斯感兴趣的项目。<br><br><b>三、前苹果员工谈苹果公司文化</b><br><br>前苹果员工 Chad Little 在 Quora 上的回答，很不错，翻译过来：<br><a href=""https://link.zhihu.com/?target=http%3A//www.quora.com/Apple-Inc-2/What-is-the-internal-culture-like-at-Apple"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">quora.com/Apple-Inc-2/W</span><span class=""invisible"">hat-is-the-internal-culture-like-at-Apple</span><span class=""ellipsis""></span></a><br><blockquote><b>公司文化</b><br><br>苹果公司的内部文化相当分裂，它既有典型的大公司的那种繁文缛节，也有创业公司的那种马不停蹄的紧急催促，这取决于乔布斯是否参与。如果你的项目，乔布斯没有参与进来了，那么你可能要好几个月的会议才能推动事情的进展。但是，如果乔布斯想要做这件事情，这件事情完成的速度会超过任何人的想象。任何跨部门的工作，要想快速完成，最好的办法就是告诉乔布斯，他可能当天就让它办成了。<br><br><b>发布活动</b><br><br>在苹果工作最让人兴奋的事，就是你的工作成为产品发布进程的一部分。你已经计划和准备了几个月，到了产品发布的那周你疯狂地每天工作 12～16 个小时，甚至彻夜不眠确保你的那一小部分万无一失，为苹果的盛大发布做好了准备。然后你和其他员工们一起聚在咖啡馆里看着所有这一切慢慢揭开帷幕。你很激动，也很紧张，整个团队都能感觉到这些。<br><br><b>员工心态</b><br><br>苹果是那种能让员工几乎虔诚地为工作奉献的公司。世界上能做到这一点大公司为数不多，迪斯尼和 Google 或许也在其中。绝大多数员工，不论他们的工作多么简单，他们都能真正感觉到自己在改变这个世界。这并不是坏事，因为它能让人忘记掉下面的这一点。<br><br><b>公司福利</b><br><br>在我看来，苹果的福利算是相当的少。咖啡要付钱，而且并不便宜（尽管花生酱果酱三明治只要 25 美分）。每一层都有自动贩卖机，也都要收费（尽管冰淇淋机器非常漂亮）。甚至图形设计部门的冰箱里的吃的也有一个「荣誉吧」（honor bar）需要付费才能吃到里面的酸乳酪和其他东西。健身房也不是免费的，不过就在园区里面，而且设施相当好。我想到曾经有人为乔布斯：“为什么福利这么少？”，据说得到的回答是：“我的任务是保证你们手上的苹果股票一涨再涨，让你们能负担的起这些付费服务。”<br><br><b>额外津贴</b><br><br>包括每年一台电脑系统（软硬件）25% 的优惠，以及 3 位家人或好友 15% 的折扣优惠。苹果公司园区的 Apple Store 商店是最慷慨的了，那里所有的软件都是半价的。<br><br><b>保密</b><br><br>保密也是苹果的文化之一（自从我离开苹果后，事情可能有些变化了。但我苹果工作的时候，是无法想象把 iPhone 4 代工程机弄丢这种情况发生的。）它不只是一项条规，而是工作本身。苹果采取的保护其创造性和天才环境的措施在硅谷是绝无仅有的。从这一点来说，离开苹果还挺让人失望的。苹果的保密政策已经延伸到了包括对博客、约会聊天、和自己的配偶说话。大多数人都接受并且遵守——有个大嘴的家伙在南西南音乐节（SXSW）上说了一些不该说的话，然后苹果被友好地请走了。<br><br>如果我现在还在苹果公司的话，我是不会对这个问题做出回应的，我也不会因不能回答这个问题而感到不舒服。（说实话，我看到一个 iTunes 工程师在另外一个问题里评论 iTunes Genius 系统，这让我感到很吃惊。或许只是些闲言碎语吧。）<br><br>总的来说，是这样的：你是一个比你更重要的组织的一部分。你在公共场合谈论的话，或者在 CSS 里用的小诀窍，新的 Unibody 制造技术，都只是你工作的一部分。这是苹果付钱给你并使之获得成功的原因。而不是满足你的自我意识去跟博客炫耀或者谈论的东西。所以，别搞砸了。<br><br>不过既然这个问题是关于未来的，有一点非常精彩而且值得一提的是。在苹果同一个产品项目，你知道的项目代号和别人知道的代号可能是不同的，这个设计是为了测试是谁疏忽或者泄露了消息。在苹果工作要明白的一点是，你正在从事工作可能并非是你认为的那个事情的一部分。只有你真正在做的那部分细节工作才真实的。这在公司内部创造了一种对于公司的所做非常尊敬的气氛。并且人们对于参与其中感到高兴。<br><br>最后，需要说一下的是，作为一个前苹果雇员在这里说这么多关于苹果保密的事情，我知道说这些是缺少尊重和没有履行好合同义务的行为。</blockquote>"
1314520488,乔布斯喜欢的书有哪些？," 乔布斯确实是个阅读量很大的人。<br><br>《重返小王国》中提到，乔布斯在大学时代经常泡在图书馆里，饱览佛教典籍：《一位瑜伽行者的自传》（Autobiography of a Yogi）、《宇宙意识》（Cosmic Consciousness）、《突破修行之物质观念》（Cutting Through Spiritual Materialism）、《动中修行》（Meditation in Action），最打动他的是《禅者的初心》（Zen Mind, Beginne's Mind）。<br><br>他年轻时还阅读关于饮食的书籍《非黏液饮食治疗学》（The Mucusless Diet Healing System）、《合理禁食》（Rational Fasting）。<br><br>1985 年，乔布斯在接受《花花公子》杂志采访时还提到他阅读的一些书：<br><blockquote>「在高一和高二期间，我第一次抽大麻；我研究过莎士比亚、迪兰·托马斯(Dylan Thomas)和所有的经典人物。我读过《白鲸记》(Moby Dick)后，又回到高一上创意写作课。到高三时，我被获准用一半时间到斯坦福去上课。<br><br>那段时间，我还对东方的神秘主义很感兴趣。在俄勒冈州的里德学院读书时，我阅读了蒂莫西·里瑞(Timothy Leary)、理查德·阿尔伯特(Richard Alpert)和盖瑞·施奈德(Gary Snyder)等人的作品，并不断探寻生命的真谛。当时，每位大学生都会去阅读《活在当下》(Be Here Now) 和《一个小行星的饮食》(Diet for a Small Planet)等哲学书籍。如今，你很难在大学校园找到它们了。这种改变并无好坏之分，只是环境已经截然不同。《追求卓越》之类的商业书籍已经取代了《一个小行星的饮食》。」</blockquote>"
1314699819,Wi-Fi 定位是怎么实现的？哪里有 IP 或者 MAC 和坐标的对应关系？," 没错，就是 Skyhook 提供的 Wi-Fi 定位服务。如果你的 iPod touch 通过家里的路由器，无法定位，说明你的路由器还不在 Skyhook 的数据中，你可以手动给你的路由器提交定位信息，我以前就是这样设置的。<br><br>需要先查到自己路由器的 MAC 地址，提交地址：<br><a href=""https://link.zhihu.com/?target=http%3A//www.skyhookwireless.com/howitworks/submit_ap.php"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">skyhookwireless.com/how</span><span class=""invisible"">itworks/submit_ap.php</span><span class=""ellipsis""></span></a> "
1315215671,为什么首先将云计算服务商业化的是 Amazon 而不是 Google、或微软这些呢？,"可部分参考这个问题：亚马逊是如何进入云计算业务的？ <br><a href=""http://www.zhihu.com/question/19550287"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">0287</span><span class=""ellipsis""></span></a><br><blockquote>基于亚马逊电子商务平台数十年的基础设施优化和改进，亚马逊创造了一套独有的软件和服务基础。这些专有软件和操作流程拥有非常庞大的规模，驱动着亚马逊网站优异的性能、稳定性、运作质量和安全。同时，亚马逊开始意识到允许其他程序访问亚马逊目录（Amazon Catalog）和其他电子商务服务是一个意料之外的巨大创新，形成了一个巨大的开发者生态。然后，这个思考逐渐发展成为，亚马逊如何将自己在可伸缩的系统软件方面的专有技术作为一个原始的基础模块通过一个服务界面提供给开发者，这可能会触发一场为全球的创新，因为开发者不再需要去考虑购买、搭建和维护基础设施这些麻烦的事。<br><br>根据我们的经验，我们知道基础设施可能会占据很多开发者最高达 70% 的资金和智力成本。</blockquote>"
